# seed = 1, gamma = 0.25, beta = 0.25, dee = 100.0, dcc = 5.0, dec = 600.0, dsc = 200.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 75 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 8.203272439E7 10149.59 16560 8.203272439E7 10149.59 233 2 75 233 2 75
1800.0 16524 2.3541845632E8 19654.04 33084 3.1745118072E8 19654.04 233 2 75 466 4 150
2700.0 16453 3.8839833151E8 29158.02 49537 7.0584951223E8 29158.02 233 2 75 699 6 225
3600.0 16452 5.4180791981E8 38661.98 65989 1.24765743203E9 38661.98 233 2 75 932 8 300
4500.0 16560 6.9781702131E8 48165.95 82549 1.94547445334E9 48165.95 233 2 75 1165 10 375
5400.0 16524 8.5044713678E8 57669.92 99073 2.79592159012E9 57669.92 233 2 75 1398 12 450
6300.0 16452 1.00205047213E9 67173.88 115525 3.79797206225E9 67173.88 233 2 75 1631 14 525
7200.0 16452 1.15546006043E9 76677.85 131977 4.95343212268E9 76677.85 233 2 75 1864 16 600
8100.0 16560 1.31345119866E9 86181.81 148537 6.26688332134E9 86181.81 233 2 75 2097 18 675
9000.0 16524 1.46546411699E9 95685.79 165061 7.73234743833E9 95685.79 233 2 75 2330 20 750
9900.0 16452 1.61570261302E9 105189.75 181513 9.34805005135E9 105189.75 233 2 75 2563 22 825
10800.0 16458 1.76911220131E9 114693.72 197971 1.111716225266E10 114693.72 233 2 75 2796 24 900
11700.0 16562 1.92923143807E9 124198.25 214533 1.304639369074E10 124198.25 233 2 75 3029 26 975
12600.0 16524 2.0804978528E9 133702.23 231057 1.512689154353E10 133702.23 233 2 75 3262 28 1050
13500.0 16452 2.22936402498E9 143206.19 247509 1.735625556851E10 143206.19 233 2 75 3495 30 1125
14400.0 16452 2.38277361328E9 152710.16 263961 1.973902918179E10 152710.16 233 2 75 3728 32 1200
15300.0 16560 2.54487048726E9 162214.12 280521 2.228389966905E10 162214.12 233 2 75 3961 34 1275
16200.0 16524 2.69551483301E9 171718.1 297045 2.497941450206E10 171718.1 233 2 75 4194 36 1350
17100.0 16452 2.84301616586E9 181222.06 313497 2.782243066792E10 181222.06 233 2 75 4427 38 1425
18000.0 16452 2.99642575415E9 190726.03 329949 3.081885642207E10 190726.03 233 2 75 4660 40 1500
18900.0 16560 3.16057548501E9 200229.99 346509 3.397943190707E10 200229.99 233 2 75 4893 42 1575
19800.0 16524 3.31053553613E9 209733.97 363033 3.72899674432E10 209733.97 233 2 75 5126 44 1650
20700.0 16452 3.45666830673E9 219237.93 379485 4.074663574993E10 219237.93 233 2 75 5359 46 1725
21600.0 16453 3.61007808599E9 228741.89 395938 4.435671383593E10 228741.89 233 2 75 5592 48 1800
22500.0 16560 3.77628487526E9 238246.42 412498 4.813299871119E10 238246.42 233 2 75 5825 50 1875
23400.0 16524 3.92556554901E9 247750.41 429022 5.20585642602E10 247750.41 233 2 75 6058 52 1950
24300.0 16452 4.07032971869E9 257254.37 445474 5.612889397889E10 257254.37 233 2 75 6291 54 2025
25200.0 16452 4.22373930698E9 266758.34 461926 6.035263328587E10 266758.34 233 2 75 6524 56 2100
26100.0 16560 4.39206564774E9 276262.3 478486 6.474469893361E10 276262.3 233 2 75 6757 58 2175
27000.0 16524 4.54058626145E9 285766.28 495010 6.928528519506E10 285766.28 233 2 75 6990 60 2250
27900.0 16452 4.68398185989E9 295270.24 511462 7.396926705495E10 295270.24 233 2 75 7223 62 2325
28800.0 16452 4.83739144818E9 304774.21 527914 7.880665850313E10 304774.21 233 2 75 7456 64 2400
29700.0 16560 5.00769978971E9 314278.17 544474 8.381435829284E10 314278.17 233 2 75 7689 66 2475
30600.0 16524 5.15560696506E9 323782.14 560998 8.89699652579E10 323782.14 233 2 75 7922 68 2550
