# seed = 1, gamma = 0.5, beta = 0.5, dee = 10.0, dcc = 50.0, dec = 15.0, dsc = 1000.0, dLocalhost = 0.015, hostBroker = CLOUD, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 150 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 6.471694718E7 7996.8 16560 6.471694718E7 7996.8 155 5 150 155 5 150
1800.0 16524 1.8273927571E8 15311.5 33084 2.4745622289E8 15311.5 155 5 150 310 10 300
2700.0 16453 3.0049198845E8 22625.73 49537 5.4794821134E8 22625.73 155 5 150 465 15 450
3600.0 16452 4.185341601E8 29939.94 65989 9.6648237145E8 29939.94 155 5 150 620 20 600
4500.0 16560 5.3862563546E8 37254.16 82549 1.50510800691E9 37254.16 155 5 150 775 25 750
5400.0 16524 6.5606357831E8 44568.39 99073 2.16117158522E9 44568.39 155 5 150 930 30 900
6300.0 16452 7.7275653864E8 51882.61 115525 2.93392812385E9 51882.61 155 5 150 1085 35 1050
7200.0 16452 8.907987232E8 59196.82 131977 3.82472684706E9 59196.82 155 5 150 1240 40 1200
8100.0 16560 1.0124142432E9 66511.04 148537 4.83714109026E9 66511.04 155 5 150 1395 45 1350
9000.0 16532 1.12937915588E9 73825.27 165069 5.96652024614E9 73825.27 155 5 150 1550 50 1500
9900.0 16452 1.24502627707E9 81140.05 181521 7.21154652321E9 81140.05 155 5 150 1705 55 1650
10800.0 16452 1.36307255766E9 88454.28 197973 8.57461908086E9 88454.28 155 5 150 1860 60 1800
11700.0 16560 1.48632382512E9 95768.5 214533 1.006094290598E10 95768.5 155 5 150 2015 65 1950
12600.0 16524 1.60270849219E9 103082.72 231057 1.166365139817E10 103082.72 155 5 150 2170 70 2100
13500.0 16452 1.71729493646E9 110396.94 247509 1.338094633463E10 110396.94 155 5 150 2325 75 2250
14400.0 16452 1.83533712103E9 117711.16 263961 1.521628345566E10 117711.16 155 5 150 2480 80 2400
15300.0 16560 1.96011240612E9 125025.38 280521 1.717639586179E10 125025.38 155 5 150 2635 85 2550
16200.0 16524 2.07602334077E9 132339.6 297045 1.925241920256E10 132339.6 155 5 150 2790 90 2700
17100.0 16453 2.18955952494E9 139653.82 313498 2.14419787275E10 139653.82 155 5 150 2945 95 2850
18000.0 16452 2.30760686232E9 146968.6 329950 2.374958558982E10 146968.6 155 5 150 3100 100 3000
18900.0 16560 2.43396614312E9 154282.83 346510 2.618355173294E10 154282.83 155 5 150 3255 105 3150
19800.0 16524 2.54935043458E9 161597.06 363034 2.873290216752E10 161597.06 155 5 150 3410 110 3300
20700.0 16452 2.66183333427E9 168911.28 379486 3.139473550179E10 168911.28 155 5 150 3565 115 3450
21600.0 16452 2.77987551883E9 176225.49 395938 3.417461102063E10 176225.49 155 5 150 3720 120 3600
22500.0 16560 2.90781056902E9 183539.71 412498 3.708242158965E10 183539.71 155 5 150 3875 125 3750
23400.0 16524 3.02266825463E9 190853.94 429022 4.010508984428E10 190853.94 155 5 150 4030 130 3900
24300.0 16452 3.13409789763E9 198168.16 445474 4.323918774191E10 198168.16 155 5 150 4185 135 4050
25200.0 16452 3.25214008219E9 205482.37 461926 4.64913278241E10 205482.37 155 5 150 4340 140 4200
26100.0 16560 3.38171606263E9 212797.16 478486 4.987304388673E10 212797.16 155 5 150 4495 145 4350
27000.0 16524 3.49599535777E9 220111.39 495010 5.33690392445E10 220111.39 155 5 150 4650 150 4500
27900.0 16452 3.60637173239E9 227425.61 511462 5.697541097689E10 227425.61 155 5 150 4805 155 4650
