# seed = 1, gamma = 0.75, beta = 0.75, dee = 10.0, dcc = 5.0, dec = 15.0, dsc = 2000.0, dLocalhost = 0.015, hostBroker = CLOUD, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 225 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 1.8450269343E8 22750.45 16560 1.8450269343E8 22750.45 78 7 225 78 7 225
1800.0 16524 5.4536539591E8 45111.83 33084 7.2986808934E8 45111.83 78 7 225 156 14 450
2700.0 16452 9.0533446209E8 67472.69 49536 1.63520255143E9 67472.69 78 7 225 234 21 675
3600.0 16452 1.26623883038E9 89833.53 65988 2.90144138182E9 89833.53 78 7 225 312 28 900
4500.0 16560 1.63329586063E9 112194.38 82548 4.53473724245E9 112194.38 78 7 225 390 35 1125
5400.0 16524 1.99239287136E9 134555.23 99072 6.5271301138E9 134555.23 78 7 225 468 42 1350
6300.0 16453 2.34912996612E9 156916.07 115525 8.87626007993E9 156916.07 78 7 225 546 49 1575
7200.0 16452 2.71003398399E9 179276.92 131977 1.158629406391E10 179276.92 78 7 225 624 56 1800
8100.0 16560 3.08176218821E9 201637.76 148537 1.466805625213E10 201637.76 78 7 225 702 63 2025
9000.0 16524 3.43939978896E9 223998.62 165061 1.810745604108E10 223998.62 78 7 225 780 70 2250
9900.0 16452 3.79292476956E9 246359.46 181513 2.190038081064E10 246359.46 78 7 225 858 77 2475
10800.0 16452 4.15382913785E9 268720.3 197965 2.605420994849E10 268720.3 78 7 225 936 84 2700
11700.0 16560 4.53054607189E9 291081.15 214525 3.058475602038E10 291081.15 78 7 225 1014 91 2925
12600.0 16524 4.88642310294E9 313442.0 231049 3.547117912332E10 313442.0 78 7 225 1092 98 3150
13500.0 16452 5.23671992342E9 335802.85 247501 4.070789904674E10 335802.85 78 7 225 1170 105 3375
14400.0 16452 5.59762429171E9 358163.69 263953 4.630552333846E10 358163.69 78 7 225 1248 112 3600
15300.0 16560 5.97901237274E9 380524.54 280513 5.22845357112E10 380524.54 78 7 225 1326 119 3825
16200.0 16524 6.33343002055E9 402885.39 297037 5.861796573175E10 402885.39 78 7 225 1404 126 4050
17100.0 16452 6.68051507728E9 425246.23 313489 6.529848080903E10 425246.23 78 7 225 1482 133 4275
18000.0 16452 7.04141944558E9 447607.08 329941 7.233990025461E10 447607.08 78 7 225 1560 140 4500
18900.0 16560 7.42763746951E9 469967.92 346501 7.976753772412E10 469967.92 78 7 225 1638 147 4725
19800.0 16524 7.78044512735E9 492328.78 363025 8.754798285146E10 492328.78 78 7 225 1716 154 4950
20700.0 16452 8.12431023115E9 514689.62 379477 9.567229308261E10 514689.62 78 7 225 1794 161 5175
21600.0 16452 8.48521459945E9 537050.47 395929 1.0415750768206E11 537050.47 78 7 225 1872 168 5400
22500.0 16560 8.87626255729E9 559411.31 412489 1.1303377023935E11 559411.31 78 7 225 1950 175 5625
23400.0 16530 9.22746025218E9 581772.16 429019 1.2226123049153E11 581772.16 78 7 225 2028 182 5850
24300.0 16454 9.56810642289E9 604133.14 445473 1.3182933691442E11 604133.14 78 7 225 2106 189 6075
25200.0 16452 9.92901533696E9 626494.42 461925 1.4175835225138E11 626494.42 78 7 225 2184 196 6300
26100.0 16560 1.03250557442E10 648855.27 478485 1.5208340799558E11 648855.27 78 7 225 2262 203 6525
27000.0 16524 1.067448462523E10 671216.12 495009 1.6275789262081E11 671216.12 78 7 225 2340 210 6750
27900.0 16452 1.101190977558E10 693576.97 511461 1.7376980239638E11 693576.97 78 7 225 2418 217 6975
28800.0 16452 1.137281414388E10 715937.81 527913 1.8514261654027E11 715937.81 78 7 225 2496 224 7200
29700.0 16560 1.177352203647E10 738298.66 544473 1.9691613857674E11 738298.66 78 7 225 2574 231 7425
30600.0 16524 1.212149973257E10 760659.51 560997 2.0903763830932E11 760659.51 78 7 225 2652 238 7650
31500.0 16452 1.245570492999E10 783020.36 577449 2.214933432393E11 783020.36 78 7 225 2730 245 7875
32400.0 16452 1.281660929829E10 805381.2 593901 2.3430995253759E11 805381.2 78 7 225 2808 252 8100
33300.0 16560 1.322214712479E10 827742.04 610461 2.4753209966238E11 827742.04 78 7 225 2886 259 8325
34200.0 16524 1.356851485797E10 850102.9 626985 2.6110061452035E11 850102.9 78 7 225 2964 266 8550
35100.0 16452 1.389950008445E10 872463.74 643437 2.750001146048E11 872463.74 78 7 225 3042 273 8775
36000.0 16452 1.426040445276E10 894824.59 659889 2.8926051905756E11 894824.59 78 7 225 3120 280 9000
36900.0 16560 1.467077222215E10 917185.43 676449 3.0393129127971E11 917185.43 78 7 225 3198 287 9225
37800.0 16524 1.501552997442E10 939546.28 692973 3.1894682125413E11 939546.28 78 7 225 3276 294 9450
38700.0 16452 1.534329523902E10 961907.13 709425 3.3429011649315E11 961907.13 78 7 225 3354 301 9675
39600.0 16452 1.570419960733E10 984267.97 725877 3.4999431610048E11 984267.97 78 7 225 3432 308 9900
40500.0 16560 1.611939731963E10 1006628.82 742437 3.6611371342011E11 1006628.82 78 7 225 3510 315 10125
41400.0 16524 1.646254509093E10 1028989.67 758961 3.8257625851104E11 1028989.67 78 7 225 3588 322 10350
42300.0 16452 1.678709039359E10 1051350.52 775413 3.9936334890463E11 1051350.52 78 7 225 3666 329 10575
43200.0 16452 1.71479947619E10 1073711.36 791865 4.1651134366653E11 1073711.36 78 7 225 3744 336 10800
44100.0 16560 1.75680224081E10 1096072.21 808425 4.3407936607463E11 1096072.21 78 7 225 3822 343 11025
45000.0 16524 1.790956020744E10 1118433.06 824949 4.5198892628207E11 1118433.06 78 7 225 3900 350 11250
45900.0 16452 1.823088554822E10 1140793.9 841401 4.7021981183029E11 1140793.9 78 7 225 3978 357 11475
46800.0 16453 1.859178991653E10 1163154.75 857854 4.8881160174682E11 1163154.75 78 7 225 4056 364 11700
47700.0 16560 1.901680826905E10 1185515.81 874414 5.0782841001587E11 1185515.81 78 7 225 4134 371 11925
48600.0 16524 1.935658127836E10 1207877.01 890938 5.2718499129423E11 1207877.01 78 7 225 4212 378 12150
49500.0 16452 1.96746899347E10 1230237.86 907390 5.4685968122893E11 1230237.86 78 7 225 4290 385 12375
50400.0 16452 2.003559430301E10 1252598.71 923842 5.6689527553194E11 1252598.71 78 7 225 4368 392 12600
51300.0 16560 2.04652818749E10 1274959.55 940402 5.8736055740684E11 1274959.55 78 7 225 4446 399 12825
52200.0 16524 2.080359969312E10 1297320.41 956926 6.0816415709996E11 1297320.41 78 7 225 4524 406 13050
53100.0 16452 2.111848508944E10 1319681.25 973378 6.292826421894E11 1319681.25 78 7 225 4602 413 13275
54000.0 16452 2.147938945775E10 1342042.09 989830 6.5076203164714E11 1342042.09 78 7 225 4680 420 13500
54900.0 16560 2.191390697254E10 1364402.94 1006390 6.7267593861969E11 1364402.94 78 7 225 4758 427 13725
55800.0 16524 2.225061480974E10 1386763.79 1022914 6.9492655342942E11 1386763.79 78 7 225 4836 434 13950
56700.0 16452 2.256228024412E10 1409124.64 1039366 7.1748883367355E11 1409124.64 78 7 225 4914 441 14175
57600.0 16452 2.292318461243E10 1431485.48 1055818 7.4041201828598E11 1431485.48 78 7 225 4992 448 14400
58500.0 16560 2.336253207013E10 1453846.33 1072378 7.6377455035611E11 1453846.33 78 7 225 5070 455 14625
59400.0 16524 2.369762992636E10 1476207.18 1088902 7.8747218028247E11 1476207.18 78 7 225 5148 462 14850
60300.0 16452 2.400607539881E10 1498568.02 1105354 8.1147825568127E11 1498568.02 78 7 225 5226 469 15075
61200.0 16452 2.436697976711E10 1520928.87 1121806 8.3584523544839E11 1520928.87 78 7 225 5304 476 15300
62100.0 16560 2.481115716772E10 1543289.71 1138366 8.6065639261611E11 1543289.71 78 7 225 5382 483 15525
63000.0 16524 2.514464504298E10 1565650.57 1154890 8.8580103765908E11 1565650.57 78 7 225 5460 490 15750
63900.0 16452 2.544987055349E10 1588011.41 1171342 9.1125090821257E11 1588011.41 78 7 225 5538 497 15975
64800.0 16452 2.58107749218E10 1610372.26 1187794 9.3706168313437E11 1610372.26 78 7 225 5616 504 16200
65700.0 16560 2.625994107918E10 1632733.1 1204354 9.6332162421355E11 1632733.1 78 7 225 5694 511 16425
66600.0 16524 2.65916601596E10 1655093.95 1220878 9.8991328437315E11 1655093.95 78 7 225 5772 518 16650
67500.0 16452 2.689366570817E10 1677454.8 1237330 1.01680695008132E12 1677454.8 78 7 225 5850 525 16875
68400.0 16452 2.725457007648E10 1699815.64 1253782 1.04406152015781E12 1699815.64 78 7 225 5928 532 17100
69300.0 16560 2.77084073539E10 1722176.49 1270342 1.0717699275117E12 1722176.49 78 7 225 6006 539 17325
70200.0 16524 2.803867526722E10 1744537.34 1286866 1.09980860277892E12 1744537.34 78 7 225 6084 546 17550
71100.0 16452 2.833746346388E10 1766898.51 1303318 1.1281460662428E12 1766898.51 78 7 225 6162 553 17775
72000.0 16452 2.869837245392E10 1789259.6 1319770 1.15684443869672E12 1789259.6 78 7 225 6240 560 18000
72900.0 16560 2.915704171907E10 1811620.45 1336330 1.18600148041578E12 1811620.45 78 7 225 6318 567 18225
73800.0 16524 2.948569964113E10 1833981.3 1352854 1.21548718005691E12 1833981.3 78 7 225 6396 574 18450
74700.0 16452 2.978126524525E10 1856342.14 1369306 1.24526844530216E12 1856342.14 78 7 225 6474 581 18675
75600.0 16452 3.014216961356E10 1878702.99 1385758 1.27541061491573E12 1878702.99 78 7 225 6552 588 18900
76500.0 16560 3.060582562153E10 1901063.83 1402318 1.30601644053726E12 1901063.83 78 7 225 6630 595 19125
77400.0 16524 3.093271475775E10 1923424.69 1418842 1.336949155295E12 1923424.69 78 7 225 6708 602 19350
78300.0 16452 3.122506039994E10 1945785.53 1435294 1.36817421569494E12 1945785.53 78 7 225 6786 609 19575
79200.0 16452 3.158596476825E10 1968146.38 1451746 1.39976018046319E12 1968146.38 78 7 225 6864 616 19800
80100.0 16560 3.205429190524E10 1990507.22 1468306 1.43181447236843E12 1990507.22 78 7 225 6942 623 20025
81000.0 16524 3.237973807255E10 2012868.07 1484830 1.46419421044098E12 2012868.07 78 7 225 7020 630 20250
81900.0 16452 3.266885555457E10 2035228.92 1501282 1.49686306599555E12 2035228.92 78 7 225 7098 637 20475
82800.0 16452 3.302975992288E10 2057589.76 1517734 1.52989282591842E12 2057589.76 78 7 225 7176 644 20700
83700.0 16560 3.350307582563E10 2079950.61 1534294 1.56339590174406E12 2079950.61 78 7 225 7254 651 20925
84600.0 16524 3.382674499086E10 2102311.46 1550818 1.59722264673492E12 2102311.46 78 7 225 7332 658 21150
85500.0 16452 3.411265070906E10 2124672.31 1567270 1.63133529744398E12 2124672.31 78 7 225 7410 665 21375
86400.0 16452 3.447355507731E10 2147033.15 1583722 1.66580885252129E12 2147033.15 78 7 225 7488 672 21600
87300.0 16560 3.495154209105E10 2169393.99 1600282 1.70076039461234E12 2169393.99 78 7 225 7566 679 21825
88200.0 16524 3.527376829636E10 2191754.85 1616806 1.7360341629087E12 2191754.85 78 7 225 7644 686 22050
89100.0 16452 3.555644586345E10 2214115.69 1633258 1.77159060877215E12 2214115.69 78 7 225 7722 693 22275
90000.0 16452 3.591735023169E10 2236476.54 1649710 1.80750795900384E12 2236476.54 78 7 225 7800 700 22500
90900.0 16560 3.640032601121E10 2258837.38 1666270 1.84390828501505E12 2258837.38 78 7 225 7878 707 22725
91800.0 16524 3.672077521455E10 2281198.23 1682794 1.8806290602296E12 2281198.23 78 7 225 7956 714 22950
92700.0 16452 3.700024101788E10 2303559.08 1699246 1.91762930124749E12 2303559.08 78 7 225 8034 721 23175
93600.0 16452 3.736114538613E10 2325919.92 1715698 1.95499044663362E12 2325919.92 78 7 225 8112 728 23400
94500.0 16560 3.784879575619E10 2348281.16 1732258 1.99283924238981E12 2348281.16 78 7 225 8190 735 23625
95400.0 16524 3.816780600569E10 2370642.19 1748782 2.0310070483955E12 2370642.19 78 7 225 8268 742 23850
96300.0 16452 3.844404539206E10 2393003.04 1765234 2.06945109378756E12 2393003.04 78 7 225 8346 749 24075
97200.0 16452 3.88049497603E10 2415363.88 1781686 2.10825604354787E12 2415363.88 78 7 225 8424 756 24300
98100.0 16560 3.929742664259E10 2437724.73 1798246 2.14755347019046E12 2437724.73 78 7 225 8502 763 24525
99000.0 16524 3.961481468759E10 2460085.58 1814770 2.18716828487805E12 2460085.58 78 7 225 8580 770 24750
99900.0 16452 3.988784054649E10 2482446.42 1831222 2.22705612542455E12 2482446.42 78 7 225 8658 777 24975
100800.0 16452 4.024874491474E10 2504807.27 1847674 2.26730487033929E12 2504807.27 78 7 225 8736 784 25200
101700.0 16560 4.074605173993E10 2527168.11 1864234 2.30805092207922E12 2527168.11 78 7 225 8814 791 25425
102600.0 16524 4.106182981297E10 2549528.97 1880758 2.34911275189219E12 2549528.97 78 7 225 8892 798 25650
103500.0 16452 4.133163570093E10 2571889.81 1897210 2.39044438759312E12 2571889.81 78 7 225 8970 805 25875
104400.0 16452 4.169254006918E10 2594250.66 1913662 2.4321369276623E12 2594250.66 78 7 225 9048 812 26100
105300.0 16560 4.219467684628E10 2616611.5 1930222 2.47433160450858E12 2616611.5 78 7 225 9126 819 26325
106200.0 16524 4.250884492034E10 2638972.35 1946746 2.51684044942892E12 2638972.35 78 7 225 9204 826 26550
107100.0 16452 4.277543085537E10 2661333.2 1963198 2.55961588028428E12 2661333.2 78 7 225 9282 833 26775
108000.0 16452 4.313633522362E10 2683694.04 1979650 2.6027522155079E12 2683694.04 78 7 225 9360 840 27000
108900.0 16560 4.364330193462E10 2706054.89 1996210 2.64639551744252E12 2706054.89 78 7 225 9438 847 27225
109800.0 16524 4.395586004577E10 2728415.74 2012734 2.69035137748828E12 2728415.74 78 7 225 9516 854 27450
110700.0 16452 4.421922600991E10 2750776.59 2029186 2.7345706034982E12 2750776.59 78 7 225 9594 861 27675
