# seed = 1, gamma = 0.25, beta = 0.75, dee = 100.0, dcc = 50.0, dec = 150.0, dsc = 1000.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 225 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 1.1084510493E8 13691.37 16560 1.1084510493E8 13691.37 83 2 225 83 2 225
1800.0 16524 3.2259672311E8 26813.09 33084 4.3344182804E8 26813.09 83 2 225 166 4 450
2700.0 16452 5.3381974221E8 39934.32 49536 9.6726157025E8 39934.32 83 2 225 249 6 675
3600.0 16453 7.4560015536E8 53055.53 65989 1.71286172561E9 53055.53 83 2 225 332 8 900
4500.0 16560 9.6099433137E8 66176.75 82549 2.67385605698E9 66176.75 83 2 225 415 10 1125
5400.0 16524 1.17170602549E9 79297.97 99073 3.84556208246E9 79297.97 83 2 225 498 12 1350
6300.0 16452 1.38103048083E9 92419.18 115525 5.2265925633E9 92419.18 83 2 225 581 14 1575
7200.0 16452 1.59281089398E9 105540.4 131977 6.81940345727E9 105540.4 83 2 225 664 16 1800
8100.0 16560 1.81094359755E9 118661.61 148537 8.63034705483E9 118661.61 83 2 225 747 18 2025
9000.0 16524 2.0208013888E9 131782.84 165061 1.065114844363E10 131782.84 83 2 225 830 20 2250
9900.0 16452 2.22824121972E9 144904.05 181513 1.287938966334E10 144904.05 83 2 225 913 22 2475
10800.0 16452 2.44002163286E9 158025.27 197965 1.53194112962E10 158025.27 83 2 225 996 24 2700
11700.0 16560 2.66108419261E9 171146.48 214525 1.798049548881E10 171146.48 83 2 225 1079 26 2925
12600.0 16524 2.86990641373E9 184267.71 231049 2.085040190254E10 184267.71 83 2 225 1162 28 3150
13500.0 16452 3.07545195859E9 197388.92 247501 2.392585386113E10 197388.92 83 2 225 1245 30 3375
14400.0 16458 3.28723237173E9 210510.13 263959 2.721308623287E10 210510.13 83 2 225 1328 32 3600
15300.0 16562 3.51103745797E9 223631.79 280521 3.072412369084E10 223631.79 83 2 225 1411 34 3825
16200.0 16524 3.71900991926E9 236753.14 297045 3.444313361011E10 236753.14 83 2 225 1494 36 4050
17100.0 16452 3.92267193493E9 249874.36 313497 3.836580554504E10 249874.36 83 2 225 1577 38 4275
18000.0 16452 4.13445234808E9 262995.57 329949 4.250025789311E10 262995.57 83 2 225 1660 40 4500
18900.0 16560 4.36108762216E9 276116.79 346509 4.686134551528E10 276116.79 83 2 225 1743 42 4725
19800.0 16524 4.56811122023E9 289238.01 363033 5.142945673551E10 289238.01 83 2 225 1826 44 4950
20700.0 16452 4.76988267381E9 302359.23 379485 5.619933940932E10 302359.23 83 2 225 1909 46 5175
21600.0 16452 4.98166308695E9 315480.44 395937 6.118100249627E10 315480.44 83 2 225 1992 48 5400
22500.0 16560 5.21113253491E9 328601.66 412497 6.639213503117E10 328601.66 83 2 225 2075 50 5625
23400.0 16524 5.41721142335E9 341722.88 429021 7.180934645453E10 341722.88 83 2 225 2158 52 5850
24300.0 16452 5.61709341268E9 354844.1 445473 7.742643986721E10 354844.1 83 2 225 2241 54 6075
25200.0 16452 5.82887382582E9 367965.31 461925 8.325531369303E10 367965.31 83 2 225 2324 56 6300
26100.0 16560 6.06127316596E9 381086.53 478485 8.931658685899E10 381086.53 83 2 225 2407 58 6525
27000.0 16524 6.2663116178E9 394207.75 495009 9.558289847679E10 394207.75 83 2 225 2490 60 6750
27900.0 16452 6.46430415188E9 407328.96 511461 1.0204720262867E11 407328.96 83 2 225 2573 62 6975
28800.0 16453 6.67608481214E9 420450.18 527914 1.0872328744081E11 420450.18 83 2 225 2656 64 7200
29700.0 16560 6.91122702E9 433571.96 544474 1.1563451446082E11 433571.96 83 2 225 2739 66 7425
30600.0 16524 7.11542109517E9 446693.19 560998 1.2274993555598E11 446693.19 83 2 225 2822 68 7650
31500.0 16452 7.31152416233E9 459814.41 577450 1.3006145971831E11 459814.41 83 2 225 2905 70 7875
32400.0 16452 7.52330457547E9 472935.62 593902 1.3758476429378E11 472935.62 83 2 225 2988 72 8100
33300.0 16560 7.7612766121E9 486056.84 610462 1.4534604090588E11 486056.84 83 2 225 3071 74 8325
34200.0 16524 7.96452129883E9 499178.06 626986 1.5331056220471E11 499178.06 83 2 225 3154 76 8550
35100.0 16452 8.15873490174E9 512299.27 643438 1.6146929710645E11 512299.27 83 2 225 3237 78 8775
36000.0 16452 8.3705153149E9 525420.49 659890 1.6983981242136E11 525420.49 83 2 225 3320 80 9000
36900.0 16560 8.61132153442E9 538541.7 676450 1.7845113395577E11 538541.7 83 2 225 3403 82 9225
37800.0 16524 8.8136214936E9 551662.93 692974 1.8726475544937E11 551662.93 83 2 225 3486 84 9450
38700.0 16452 9.00594564133E9 564784.14 709426 1.9627070109069E11 564784.14 83 2 225 3569 86 9675
39600.0 16452 9.21772605448E9 577905.36 725878 2.0548842714518E11 577905.36 83 2 225 3652 88 9900
40500.0 16560 9.46136645687E9 591026.57 742438 2.1494979360205E11 591026.57 83 2 225 3735 90 10125
41400.0 16524 9.66272168843E9 604147.8 758962 2.2461251529048E11 604147.8 83 2 225 3818 92 10350
42300.0 16452 9.85315638091E9 617269.01 775414 2.3446567167138E11 617269.01 83 2 225 3901 94 10575
43200.0 16452 1.006493931279E10 630390.53 791866 2.4453061098418E11 630390.53 83 2 225 3984 96 10800
44100.0 16560 1.031141861197E10 643512.01 808426 2.5484202959614E11 643512.01 83 2 225 4067 98 11025
45000.0 16524 1.05118311205E10 656633.23 824950 2.6535386071665E11 656633.23 83 2 225 4150 100 11250
45900.0 16452 1.070037633723E10 669754.45 841402 2.7605423705388E11 669754.45 83 2 225 4233 102 11475
46800.0 16452 1.091215675039E10 682875.66 857854 2.8696639380427E11 682875.66 83 2 225 4316 104 11700
47700.0 16560 1.116156124962E10 695996.88 874414 2.981279550539E11 695996.88 83 2 225 4399 106 11925
48600.0 16524 1.136093130649E10 709118.1 890938 3.0948888636039E11 709118.1 83 2 225 4482 108 12150
49500.0 16452 1.154758707698E10 722239.32 907390 3.2103647343737E11 722239.32 83 2 225 4565 110 12375
50400.0 16452 1.175936749014E10 735360.53 923842 3.327958409275E11 735360.53 83 2 225 4648 112 12600
51300.0 16560 1.201151047198E10 748481.75 940402 3.4480735139948E11 748481.75 83 2 225 4731 114 12825
52200.0 16524 1.221003151049E10 761602.97 956926 3.5701738290997E11 761602.97 83 2 225 4814 116 13050
53100.0 16452 1.239479781672E10 774724.19 973378 3.6941218072669E11 774724.19 83 2 225 4897 118 13275
54000.0 16452 1.260657822988E10 787845.4 989830 3.8201875895657E11 787845.4 83 2 225 4980 120 13500
54900.0 16560 1.28615553946E10 800966.62 1006390 3.9488031435117E11 800966.62 83 2 225 5063 122 13725
55800.0 16524 1.305913170543E10 814087.84 1022914 4.0793944605659E11 814087.84 83 2 225 5146 124 13950
56700.0 16452 1.324200855641E10 827209.05 1039366 4.2118145461301E11 827209.05 83 2 225 5229 126 14175
57600.0 16452 1.34537937019E10 840330.83 1055818 4.3463524831491E11 840330.83 83 2 225 5312 128 14400
58500.0 16560 1.371160961925E10 853452.06 1072378 4.4834685793416E11 853452.06 83 2 225 5395 130 14625
59400.0 16524 1.390824119211E10 866573.28 1088902 4.6225509912627E11 866573.28 83 2 225 5478 132 14850
60300.0 16452 1.408922856718E10 879694.5 1105354 4.7634432769345E11 879694.5 83 2 225 5561 134 15075
61200.0 16452 1.430100898033E10 892815.71 1121806 4.9064533667378E11 892815.71 83 2 225 5644 136 15300
62100.0 16560 1.456165454181E10 905936.93 1138366 5.0520699121559E11 905936.93 83 2 225 5727 138 15525
63000.0 16524 1.475734138705E10 919058.15 1154890 5.1996433260265E11 919058.15 83 2 225 5810 140 15750
63900.0 16452 1.493643930687E10 932179.36 1171342 5.3490077190951E11 932179.36 83 2 225 5893 142 15975
64800.0 16452 1.514821972002E10 945300.58 1187794 5.5004899162954E11 945300.58 83 2 225 5976 144 16200
65700.0 16560 1.541179516464E10 958421.79 1204354 5.6546078679417E11 958421.79 83 2 225 6059 146 16425
66600.0 16524 1.560644158199E10 971543.02 1220878 5.8106722837617E11 971543.02 83 2 225 6142 148 16650
67500.0 16452 1.578365004656E10 984664.23 1237330 5.9685087842272E11 984664.23 83 2 225 6225 150 16875
68400.0 16452 1.599543045971E10 997785.45 1253782 6.1284630888244E11 997785.45 83 2 225 6308 152 17100
69300.0 16560 1.626174437794E10 1010906.66 1270342 6.2910805326038E11 1010906.66 83 2 225 6391 154 17325
70200.0 16530 1.645554176793E10 1024027.89 1286872 6.4556359502831E11 1024027.89 83 2 225 6474 156 17550
71100.0 16455 1.66308621949E10 1037149.26 1303327 6.6219445722321E11 1037149.26 83 2 225 6557 158 17775
72000.0 16452 1.684264722034E10 1050270.88 1319779 6.7903710444355E11 1050270.88 83 2 225 6640 160 18000
72900.0 16560 1.71117985796E10 1063392.1 1336339 6.9614890302316E11 1063392.1 83 2 225 6723 162 18225
