# seed = 1, gamma = 0.25, beta = 0.25, dee = 100.0, dcc = 50.0, dec = 150.0, dsc = 2000.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 75 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 8.24246758E7 10196.37 16560 8.24246758E7 10196.37 233 2 75 233 2 75
1800.0 16524 2.3654235326E8 19748.09 33084 3.1896702906E8 19748.09 233 2 75 466 4 150
2700.0 16453 3.9031388659E8 29299.32 49537 7.0928091565E8 29299.32 233 2 75 699 6 225
3600.0 16452 5.4445493773E8 38850.53 65989 1.25373585338E9 38850.53 233 2 75 932 8 300
4500.0 16560 7.0127071374E8 48401.75 82549 1.95500656712E9 48401.75 233 2 75 1165 10 375
5400.0 16524 8.5462941386E8 57952.97 99073 2.80963598098E9 57952.97 233 2 75 1398 12 450
6300.0 16452 1.0070168652E9 67504.18 115525 3.81665284619E9 67504.18 233 2 75 1631 14 525
7200.0 16452 1.16115791635E9 77055.4 131977 4.97781076254E9 77055.4 233 2 75 1864 16 600
8100.0 16560 1.31996542884E9 86606.61 148537 6.29777619138E9 86606.61 233 2 75 2097 18 675
9000.0 16524 1.47270374717E9 96157.84 165061 7.77047993855E9 96157.84 233 2 75 2330 20 750
9900.0 16452 1.62371984409E9 105709.05 181513 9.39419978265E9 105709.05 233 2 75 2563 22 825
10800.0 16458 1.77786089524E9 115260.27 197971 1.117206067789E10 115260.27 233 2 75 2796 24 900
11700.0 16562 1.93880676199E9 124811.99 214533 1.311086743988E10 124811.99 233 2 75 3029 26 975
12600.0 16524 2.09079444186E9 134363.28 231057 1.520166188174E10 134363.28 233 2 75 3262 28 1050
13500.0 16452 2.24043207618E9 143914.49 247509 1.744209395793E10 143914.49 233 2 75 3495 30 1125
14400.0 16452 2.39457312733E9 153465.71 263961 1.983666708525E10 153465.71 233 2 75 3728 32 1200
15300.0 16560 2.55750678751E9 163016.92 280521 2.239417387276E10 163016.92 233 2 75 3961 34 1275
16200.0 16524 2.70886972927E9 172568.15 297045 2.510304360204E10 172568.15 233 2 75 4194 36 1350
17100.0 16452 2.85713505506E9 182119.36 313497 2.796017865709E10 182119.36 233 2 75 4427 38 1425
18000.0 16452 3.0112761062E9 191670.58 329949 3.097145476329E10 191670.58 233 2 75 4660 40 1500
18900.0 16560 3.17627282926E9 201221.79 346509 3.414772759255E10 201221.79 233 2 75 4893 42 1575
19800.0 16524 3.32694807439E9 210773.01 363033 3.747467566694E10 210773.01 233 2 75 5126 44 1650
20700.0 16452 3.47383803393E9 220324.23 379485 4.094851370087E10 220324.23 233 2 75 5359 46 1725
21600.0 16453 3.6279791892E9 229875.44 395938 4.457649289007E10 229875.44 233 2 75 5592 48 1800
22500.0 16560 3.79504291521E9 239427.22 412498 4.837153580528E10 239427.22 233 2 75 5825 50 1875
23400.0 16524 3.94503572928E9 248978.46 429022 5.231657153456E10 248978.46 233 2 75 6058 52 1950
24300.0 16452 4.09055028389E9 258529.67 445474 5.640712181845E10 258529.67 233 2 75 6291 54 2025
25200.0 16452 4.24469133503E9 268080.89 461926 6.065181315348E10 268080.89 233 2 75 6524 56 2100
26100.0 16560 4.41388558623E9 277632.1 478486 6.506569873971E10 277632.1 233 2 75 6757 58 2175
27000.0 16524 4.56311408372E9 287183.32 495010 6.962881282343E10 287183.32 233 2 75 6990 60 2250
27900.0 16452 4.70725326309E9 296734.54 511462 7.433606608652E10 296734.54 233 2 75 7223 62 2325
28800.0 16452 4.86139431423E9 306285.75 527914 7.919746040075E10 306285.75 233 2 75 7456 64 2400
29700.0 16560 5.03258026596E9 315836.97 544474 8.423004066671E10 315836.97 233 2 75 7689 66 2475
30600.0 16524 5.18119242933E9 325388.19 560998 8.941123309604E10 325388.19 233 2 75 7922 68 2550
31500.0 16452 5.32395624245E9 334939.41 577450 9.473518933848E10 334939.41 233 2 75 8155 70 2625
32400.0 16452 5.47809926056E9 344490.88 593902 1.0021328859904E11 344490.88 233 2 75 8388 72 2700
