# seed = 1, gamma = 0.75, beta = 0.25, dee = 10.0, dcc = 50.0, dec = 150.0, dsc = 20.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 75 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16561 1.846656813E7 2329.94 16561 1.846656813E7 2329.94 228 7 75 228 7 75
1800.0 16524 4.32489824E7 3866.17 33085 6.171555053E7 3866.17 228 7 75 456 14 150
2700.0 16460 6.796841152E7 5402.17 49545 1.2968396204E8 5402.17 228 7 75 684 21 225
3600.0 16452 9.276669932E7 6938.73 65997 2.2245066137E8 6938.73 228 7 75 912 28 300
4500.0 16560 1.1800731957E8 8474.74 82557 3.4045798094E8 8474.74 228 7 75 1140 35 375
5400.0 16525 1.426585467E8 10010.75 99082 4.8311652764E8 10010.75 228 7 75 1368 42 450
6300.0 16452 1.6715878078E8 11547.32 115534 6.5027530842E8 11547.32 228 7 75 1596 49 525
7200.0 16452 1.9195726372E8 13083.32 131986 8.4223257214E8 13083.32 228 7 75 1824 56 600
8100.0 16560 2.1750841124E8 14619.32 148546 1.05974098338E9 14619.32 228 7 75 2052 63 675
9000.0 16524 2.4206928468E8 16155.9 165070 1.30181026806E9 16155.9 228 7 75 2280 70 750
9900.0 16452 2.6634934833E8 17691.91 181522 1.56815961638E9 17691.91 228 7 75 2508 77 825
10800.0 16452 2.9114763613E8 19228.47 197974 1.85930725252E9 19228.47 228 7 75 2736 84 900
11700.0 16560 3.1705192019E8 20764.48 214534 2.1763591727E9 20764.48 228 7 75 2964 91 975
12600.0 16533 3.4148191431E8 22300.49 231067 2.51784108701E9 22300.49 228 7 75 3192 98 1050
13500.0 16452 3.6553971787E8 23837.05 247519 2.88338080488E9 23837.05 228 7 75 3420 105 1125
14400.0 16452 3.903382008E8 25373.06 263971 3.27371900569E9 25373.06 228 7 75 3648 112 1200
15300.0 16561 4.1655298512E8 26909.06 280532 3.69027199081E9 26909.06 228 7 75 3876 119 1275
16200.0 16524 4.408926523E8 28445.63 297056 4.13116464311E9 28445.63 228 7 75 4104 126 1350
17100.0 16452 4.6473028541E8 29981.64 313508 4.59589492852E9 29981.64 228 7 75 4332 133 1425
18000.0 16452 4.8952841708E8 31518.2 329960 5.0854233456E9 31518.2 228 7 75 4560 140 1500
18900.0 16560 5.1607992526E8 33054.22 346520 5.60150327086E9 33054.22 228 7 75 4788 147 1575
19800.0 16524 5.4030442797E8 34590.22 363044 6.14180769883E9 34590.22 228 7 75 5016 154 1650
20700.0 16453 5.6392065495E8 36126.79 379497 6.70572835378E9 36126.79 228 7 75 5244 161 1725
21600.0 16452 5.8871913789E8 37662.8 395949 7.29444749166E9 37662.8 228 7 75 5472 168 1800
22500.0 16568 6.1559755901E8 39198.8 412517 7.91004505068E9 39198.8 228 7 75 5700 175 1875
23400.0 16524 6.3971601992E8 40735.37 429041 8.5497610706E9 40735.37 228 7 75 5928 182 1950
24300.0 16452 6.6311122249E8 42271.38 445493 9.21287229309E9 42271.38 228 7 75 6156 189 2025
25200.0 16453 6.8790501498E8 43807.38 461946 9.90077730807E9 43807.38 228 7 75 6384 196 2100
26100.0 16560 7.1513636129E8 45343.94 478506 1.061591366935E10 45343.94 228 7 75 6612 203 2175
27000.0 16524 7.3912780491E8 46879.96 495030 1.135504147426E10 46879.96 228 7 75 6840 210 2250
27900.0 16452 7.6230159236E8 48416.53 511482 1.211734306662E10 48416.53 228 7 75 7068 217 2325
28800.0 16452 7.8710007529E8 49952.54 527934 1.290444314191E10 49952.54 228 7 75 7296 224 2400
29700.0 16560 8.1464216027E8 51488.53 544494 1.371908530218E10 51488.53 228 7 75 7524 231 2475
30600.0 16524 8.3853937935E8 53025.11 561018 1.455762468153E10 53025.11 228 7 75 7752 238 2550
31500.0 16452 8.6149216038E8 54561.12 577470 1.541911684191E10 54561.12 228 7 75 7980 245 2625
32400.0 16461 8.8628590878E8 56097.12 593931 1.63054027507E10 56097.12 228 7 75 8208 252 2700
33300.0 16560 9.1416434811E8 57633.68 610491 1.721956709881E10 57633.68 228 7 75 8436 259 2775
34200.0 16525 9.3795117356E8 59169.7 627016 1.815751827237E10 59169.7 228 7 75 8664 266 2850
35100.0 16452 9.6068253046E8 60706.26 643468 1.911820080283E10 60706.26 228 7 75 8892 273 2925
36000.0 16452 9.854810134E8 62242.27 659920 2.010368181624E10 62242.27 228 7 75 9120 280 3000
36900.0 16560 1.01368673519E9 63778.27 676480 2.111736855142E10 63778.27 228 7 75 9348 287 3075
37800.0 16524 1.0373627571E9 65314.85 693004 2.215473130853E10 65314.85 228 7 75 9576 294 3150
38700.0 16452 1.05987309866E9 66850.86 709456 2.321460440718E10 66850.86 228 7 75 9804 301 3225
39600.0 16453 1.08466684705E9 68386.85 725909 2.429927125423E10 68386.85 228 7 75 10032 308 3300
40500.0 16560 1.11320893219E9 69923.42 742469 2.541248018643E10 69923.42 228 7 75 10260 315 3375
41400.0 16524 1.13677454242E9 71459.44 758993 2.654925472885E10 71459.44 228 7 75 10488 322 3450
42300.0 16460 1.15906089161E9 72995.69 775453 2.770831562046E10 72995.69 228 7 75 10716 329 3525
43200.0 16452 1.18385946309E9 74532.0 791905 2.889217508355E10 74532.0 228 7 75 10944 336 3600
44100.0 16561 1.21273125563E9 76068.01 808466 3.010490633918E10 76068.01 228 7 75 11172 343 3675
45000.0 16524 1.23618607133E9 77604.58 824990 3.134109241052E10 77604.58 228 7 75 11400 350 3750
45900.0 16452 1.25825398252E9 79140.59 841442 3.259934639304E10 79140.59 228 7 75 11628 357 3825
46800.0 16452 1.28304773092E9 80676.59 857894 3.388239412396E10 80676.59 228 7 75 11856 364 3900
47700.0 16560 1.31227005857E9 82213.15 874454 3.519466418252E10 82213.15 228 7 75 12084 371 3975
48600.0 16524 1.33559784782E9 83749.17 890978 3.653026203034E10 83749.17 228 7 75 12312 378 4050
49500.0 16453 1.35743981633E9 85285.17 907431 3.788770184667E10 85285.17 228 7 75 12540 385 4125
50400.0 16452 1.38223810414E9 86821.73 923883 3.926993995081E10 86821.73 228 7 75 12768 392 4200
51300.0 16568 1.41177584903E9 88357.74 940451 4.068171579985E10 88357.74 228 7 75 12996 399 4275
52200.0 16524 1.43500944057E9 89894.32 956975 4.211672524042E10 89894.32 228 7 75 13224 406 4350
53100.0 16452 1.45663492122E9 91430.33 973427 4.357336016164E10 91430.33 228 7 75 13452 413 4425
54000.0 16453 1.48142866961E9 92966.33 989880 4.505478883125E10 92966.33 228 7 75 13680 420 4500
54900.0 16560 1.51129804619E9 94502.89 1006440 4.656608687744E10 94502.89 228 7 75 13908 427 4575
55800.0 16524 1.53442122599E9 96038.91 1022964 4.810050810343E10 96038.91 228 7 75 14136 434 4650
56700.0 16452 1.55582075496E9 97574.91 1039416 4.965632885839E10 97574.91 228 7 75 14364 441 4725
57600.0 16452 1.58061904277E9 99111.47 1055868 5.123694790115E10 99111.47 228 7 75 14592 448 4800
58500.0 16560 1.61082043347E9 100647.48 1072428 5.284776833463E10 100647.48 228 7 75 14820 455 4875
59400.0 16525 1.63383232308E9 102184.01 1088953 5.44816006577E10 102184.01 228 7 75 15048 462 4950
60300.0 16452 1.65501556072E9 103720.06 1105405 5.613661621842E10 103720.06 228 7 75 15276 469 5025
61200.0 16460 1.6798095931E9 105256.06 1121865 5.781642581152E10 105256.06 228 7 75 15504 476 5100
62100.0 16560 1.71034261543E9 106792.63 1138425 5.952676842695E10 106792.63 228 7 75 15732 483 5175
63000.0 16524 1.73324457998E9 108328.64 1154949 6.126001300693E10 108328.64 228 7 75 15960 490 5250
63900.0 16453 1.75420167845E9 109864.64 1171402 6.301421468538E10 109864.64 228 7 75 16188 497 5325
64800.0 16452 1.77899996625E9 111401.21 1187854 6.479321465163E10 111401.21 228 7 75 16416 504 5400
65700.0 16560 1.80988159613E9 112937.22 1204414 6.660309624777E10 112937.22 228 7 75 16644 511 5475
66600.0 16524 1.83265161866E9 114473.23 1220938 6.843574786642E10 114473.23 228 7 75 16872 518 5550
67500.0 16452 1.85339204873E9 116009.79 1237390 7.028913991516E10 116009.79 228 7 75 17100 525 5625
68400.0 16452 1.87819053167E9 117545.8 1253842 7.216733044682E10 117545.8 228 7 75 17328 532 5700
69300.0 16560 1.90938719082E9 119082.36 1270402 7.407671763764E10 119082.36 228 7 75 17556 539 5775
70200.0 16524 1.93206794009E9 120618.38 1286926 7.600878557774E10 120618.38 228 7 75 17784 546 5850
71100.0 16461 1.95258261702E9 122154.38 1303387 7.796136819476E10 122154.38 228 7 75 18012 553 5925
72000.0 16452 1.97738090482E9 123690.95 1319839 7.993874909958E10 123690.95 228 7 75 18240 560 6000
72900.0 16560 2.0089095871E9 125226.95 1336399 8.194765868668E10 125226.95 228 7 75 18468 567 6075
73800.0 16525 2.03147498777E9 126762.96 1352924 8.397913367445E10 126762.96 228 7 75 18696 574 6150
74700.0 16452 2.0517729873E9 128299.53 1369376 8.603090666176E10 128299.53 228 7 75 18924 581 6225
75600.0 16452 2.07657147024E9 129835.54 1385828 8.8107478132E10 129835.54 228 7 75 19152 588 6300
76500.0 16560 2.10844831441E9 131372.1 1402388 9.021592644641E10 131372.1 228 7 75 19380 595 6375
77400.0 16524 2.13089131729E9 132908.12 1418912 9.23468177637E10 132908.12 228 7 75 19608 602 6450
78300.0 16452 2.15096355559E9 134444.12 1435364 9.449778131929E10 134444.12 228 7 75 19836 609 6525
79200.0 16453 2.1757618434E9 135980.68 1451817 9.667354316269E10 135980.68 228 7 75 20064 616 6600
80100.0 16560 2.20795416248E9 137516.69 1468377 9.888149732517E10 137516.69 228 7 75 20292 623 6675
81000.0 16532 2.23029920184E9 139052.7 1484909 1.0111179652701E11 139052.7 228 7 75 20520 630 6750
81900.0 16452 2.25015392582E9 140589.27 1501361 1.0336195045284E11 140589.27 228 7 75 20748 637 6825
82800.0 16452 2.27495240876E9 142125.27 1517813 1.056369028616E11 142125.27 228 7 75 20976 644 6900
83700.0 16561 2.30748971589E9 143661.45 1534374 1.0794439257748E11 143661.45 228 7 75 21204 651 6975
84600.0 16524 2.32971144313E9 145197.85 1550898 1.1027410402061E11 145197.85 228 7 75 21432 658 7050
85500.0 16452 2.34934446183E9 146733.85 1567350 1.1262344848244E11 146733.85 228 7 75 21660 665 7125
86400.0 16452 2.37414274964E9 148270.42 1583802 1.1499759123208E11 148270.42 228 7 75 21888 672 7200
87300.0 16560 2.40699870543E9 149806.43 1600362 1.1740458993751E11 149806.43 228 7 75 22116 679 7275
