# seed = 1, gamma = 0.5, beta = 0.5, dee = 100.0, dcc = 200.0, dec = 150.0, dsc = 200.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 150 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 3.045362424E7 3799.67 16560 3.045362424E7 3799.67 155 5 150 155 5 150
1800.0 16525 7.941590417E7 6834.4 33085 1.0986952841E8 6834.4 155 5 150 310 10 300
2700.0 16452 1.2825924015E8 9868.77 49537 2.3812876856E8 9868.77 155 5 150 465 15 450
3600.0 16452 1.7723498447E8 12903.14 65989 4.1536375303E8 12903.14 155 5 150 620 20 600
4500.0 16568 2.2706671369E8 15937.51 82557 6.4243046672E8 15937.51 155 5 150 775 25 750
5400.0 16524 2.7578487848E8 18972.45 99081 9.182153452E8 18972.45 155 5 150 930 30 900
6300.0 16452 3.2419171954E8 22006.83 115533 1.24240706474E9 22006.83 155 5 150 1085 35 1050
7200.0 16452 3.7316746386E8 25041.2 131985 1.61557452859E9 25041.2 155 5 150 1240 40 1200
8100.0 16561 4.2362791572E8 28075.56 148546 2.03920244431E9 28075.56 155 5 150 1395 45 1350
9000.0 16524 4.721529431E8 31110.51 165070 2.51135538741E9 31110.51 155 5 150 1550 50 1500
9900.0 16452 5.2012419919E8 34144.88 181522 3.0314795866E9 34144.88 155 5 150 1705 55 1650
10800.0 16452 5.6909994351E8 37179.25 197974 3.60057953011E9 37179.25 155 5 150 1860 60 1800
11700.0 16560 6.2024260064E8 40213.62 214534 4.22082213075E9 40213.62 155 5 150 2015 65 1950
12600.0 16524 6.6851911317E8 43248.0 231058 4.88934124391E9 43248.0 155 5 150 2170 70 2100
13500.0 16452 7.1605206362E8 46282.93 247510 5.60539330753E9 46282.93 155 5 150 2325 75 2250
14400.0 16452 7.6503242316E8 49317.31 263962 6.3704257307E9 49317.31 155 5 150 2480 80 2400
15300.0 16560 8.1680377594E8 52351.67 280522 7.18722950664E9 52351.67 155 5 150 2635 85 2550
16200.0 16524 8.6488717801E8 55386.05 297046 8.05211668465E9 55386.05 155 5 150 2790 90 2700
17100.0 16452 9.1198454328E8 58420.98 313498 8.96410122793E9 58420.98 155 5 150 2945 95 2850
18000.0 16452 9.6096490282E8 61455.36 329950 9.92506613074E9 61455.36 155 5 150 3100 100 3000
18900.0 16560 1.01339171055E9 64489.73 346510 1.093845784129E10 64489.73 155 5 150 3255 105 3150
19800.0 16530 1.06125661864E9 67524.11 363040 1.199971445993E10 67524.11 155 5 150 3410 110 3300
20700.0 16455 1.10791699154E9 70559.04 379495 1.310763145148E10 70559.04 155 5 150 3565 115 3450
