# seed = 1, gamma = 0.25, beta = 0.5, dee = 100.0, dcc = 5.0, dec = 150.0, dsc = 2000.0, dLocalhost = 0.015, hostBroker = CLOUD, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 150 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 1.2433705776E8 15306.69 16560 1.2433705776E8 15306.69 158 2 150 158 2 150
1800.0 16524 3.6263258077E8 30074.7 33084 4.8696963852E8 30074.7 158 2 150 316 4 300
2700.0 16452 6.0038189403E8 44842.17 49536 1.08735153255E9 44842.17 158 2 150 474 6 450
3600.0 16452 8.3870807135E8 59609.64 65988 1.9260596039E9 59609.64 158 2 150 632 8 600
4500.0 16561 1.08114865927E9 74377.1 82549 3.00720826317E9 74377.1 158 2 150 790 10 750
5400.0 16524 1.31827484119E9 89144.58 99073 4.32548310435E9 89144.58 158 2 150 948 12 900
6300.0 16452 1.55388770265E9 103912.04 115525 5.879370807E9 103912.04 158 2 150 1106 14 1050
7200.0 16452 1.79221387996E9 118679.5 131977 7.67158468696E9 118679.5 158 2 150 1264 16 1200
8100.0 16560 2.03773743077E9 133446.97 148537 9.70932211773E9 133446.97 158 2 150 1422 18 1350
9000.0 16524 2.27390148033E9 148214.44 165061 1.198322359806E10 148214.44 158 2 150 1580 20 1500
9900.0 16452 2.50739351153E9 162981.91 181513 1.449061710959E10 162981.91 158 2 150 1738 22 1650
10800.0 16452 2.74571968884E9 177749.37 197965 1.723633679843E10 177749.37 158 2 150 1896 24 1800
11700.0 16560 2.99453965459E9 192516.84 214525 2.023087645302E10 192516.84 158 2 150 2054 26 1950
12600.0 16524 3.22953948943E9 207284.31 231049 2.346041594245E10 207284.31 158 2 150 2212 28 2100
13500.0 16452 3.4608993204E9 222051.78 247501 2.692131526285E10 222051.78 158 2 150 2370 30 2250
14400.0 16452 3.69922549772E9 236819.24 263953 3.062054076057E10 236819.24 158 2 150 2528 32 2400
15300.0 16560 3.95112858526E9 251586.71 280513 3.457166934583E10 251586.71 158 2 150 2686 34 2550
16200.0 16530 4.18516617602E9 266354.18 297043 3.875683552185E10 266354.18 158 2 150 2844 36 2700
17100.0 16454 4.41440974893E9 281122.15 313497 4.317124527078E10 281122.15 158 2 150 3002 38 2850
18000.0 16452 4.65274004244E9 295889.68 329949 4.782398531322E10 295889.68 158 2 150 3160 40 3000
18900.0 16560 4.9078334438E9 310657.15 346509 5.273181875701E10 310657.15 158 2 150 3318 42 3150
19800.0 16524 5.14080771018E9 325424.62 363033 5.787262646719E10 325424.62 158 2 150 3476 44 3300
20700.0 16452 5.36792018402E9 340192.08 379485 6.324054665121E10 340192.08 158 2 150 3634 46 3450
21600.0 16452 5.60624636133E9 354959.55 395937 6.884679301254E10 354959.55 158 2 150 3792 48 3600
22500.0 16560 5.86452901654E9 369727.01 412497 7.471132202908E10 369727.01 158 2 150 3950 50 3750
23400.0 16524 6.0964400433E9 384494.49 429021 8.080776207238E10 384494.49 158 2 150 4108 52 3900
24300.0 16452 6.32142599289E9 399261.95 445473 8.712918806527E10 399261.95 158 2 150 4266 54 4050
25200.0 16452 6.5597521702E9 414029.42 461925 9.368894023547E10 414029.42 158 2 150 4424 56 4200
26100.0 16560 6.82133127637E9 428796.88 478485 1.0051027151184E11 428796.88 158 2 150 4582 58 4350
27000.0 16524 7.05207236774E9 443564.36 495009 1.0756234387958E11 443564.36 158 2 150 4740 60 4500
27900.0 16452 7.27493180209E9 458331.82 511461 1.1483727568167E11 458331.82 158 2 150 4898 62 4650
28800.0 16452 7.5132579794E9 473099.29 527913 1.2235053366107E11 473099.29 158 2 150 5056 64 4800
29700.0 16560 7.7779201984E9 487866.75 544473 1.3012845385947E11 487866.75 158 2 150 5214 66 4950
30600.0 16524 8.00770468335E9 502634.22 560997 1.3813615854283E11 502634.22 158 2 150 5372 68 5100
31500.0 16453 8.22843761145E9 517401.69 577450 1.4636459615428E11 517401.69 158 2 150 5530 70 5250
32400.0 16452 8.46676535979E9 532169.35 593902 1.5483136151407E11 532169.35 158 2 150 5688 72 5400
33300.0 16560 8.73462199261E9 546937.18 610462 1.6356598350668E11 546937.18 158 2 150 5846 74 5550
