# seed = 1, gamma = 0.0, beta = 0.25, dee = 10.0, dcc = 50.0, dec = 600.0, dsc = 2000.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 75 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16560 1.405318667E8 17348.33 16560 1.405318667E8 17348.33 235 0 75 235 0 75
1800.0 16524 4.1225875971E8 34186.64 33084 5.5279062641E8 34186.64 235 0 75 470 0 150
2700.0 16452 6.8331701557E8 51024.41 49536 1.23610764198E9 51024.41 235 0 75 705 0 225
3600.0 16452 9.5507751231E8 67862.17 65988 2.19118515429E9 67862.17 235 0 75 940 0 300
4500.0 16561 1.23148007049E9 84699.94 82549 3.42266522478E9 84699.94 235 0 75 1175 0 375
5400.0 16524 1.50187569316E9 101537.71 99073 4.92454091794E9 101537.71 235 0 75 1410 0 450
6300.0 16452 1.77049780834E9 118375.47 115525 6.69503872628E9 118375.47 235 0 75 1645 0 525
7200.0 16452 2.04225830508E9 135213.23 131977 8.73729703136E9 135213.23 235 0 75 1880 0 600
8100.0 16560 2.3221766905E9 152050.99 148537 1.105947372186E10 152050.99 235 0 75 2115 0 675
9000.0 16524 2.591474555E9 168888.77 165061 1.365094827686E10 168888.77 235 0 75 2350 0 750
9900.0 16452 2.85767860137E9 185726.53 181513 1.650862687823E10 185726.53 235 0 75 2585 0 825
10800.0 16452 3.12943909811E9 202564.29 197965 1.963806597634E10 202564.29 235 0 75 2820 0 900
11700.0 16560 3.41311558865E9 219402.05 214525 2.305118156499E10 219402.05 235 0 75 3055 0 975
12600.0 16524 3.68108655546E9 236239.82 231049 2.673226812045E10 236239.82 235 0 75 3290 0 1050
13500.0 16452 3.9448593944E9 253077.59 247501 3.067712751485E10 253077.59 235 0 75 3525 0 1125
14400.0 16452 4.21661989114E9 269915.35 263953 3.489374740598E10 269915.35 235 0 75 3760 0 1200
15300.0 16560 4.50381218192E9 286753.11 280513 3.93975595879E10 286753.11 235 0 75 3995 0 1275
16200.0 16524 4.77068541729E9 303590.88 297037 4.41682450052E10 303590.88 235 0 75 4230 0 1350
17100.0 16452 5.03204018743E9 320428.65 313489 4.920028519263E10 320428.65 235 0 75 4465 0 1425
18000.0 16458 5.30380068416E9 337266.41 329947 5.450408587679E10 337266.41 235 0 75 4700 0 1500
18900.0 16562 5.59463164257E9 354104.42 346509 6.009871751936E10 354104.42 235 0 75 4935 0 1575
19800.0 16524 5.86029749232E9 370942.51 363033 6.595901501168E10 370942.51 235 0 75 5170 0 1650
20700.0 16452 6.11923020432E9 387780.28 379485 7.2078245216E10 387780.28 235 0 75 5405 0 1725
21600.0 16452 6.39099070105E9 404618.04 395937 7.846923591705E10 404618.04 235 0 75 5640 0 1800
22500.0 16560 6.68545692805E9 421455.8 412497 8.51546928451E10 421455.8 235 0 75 5875 0 1875
23400.0 16524 6.94990552402E9 438293.57 429021 9.210459836912E10 438293.57 235 0 75 6110 0 1950
24300.0 16452 7.20641099734E9 455131.34 445473 9.931100936646E10 455131.34 235 0 75 6345 0 2025
25200.0 16452 7.47817149408E9 471969.1 461925 1.0678918086054E11 471969.1 235 0 75 6580 0 2100
26100.0 16560 7.7763958622E9 488806.86 478485 1.1456557672274E11 488806.86 235 0 75 6815 0 2175
27000.0 16524 8.03951095549E9 505644.63 495009 1.2260508767823E11 505644.63 235 0 75 7050 0 2250
27900.0 16452 8.2935917907E9 522482.39 511461 1.3089867946893E11 522482.39 235 0 75 7285 0 2325
28800.0 16452 8.56535228745E9 539320.16 527913 1.3946403175638E11 539320.16 235 0 75 7520 0 2400
29700.0 16560 8.86709244687E9 556157.92 544473 1.4833112420325E11 556157.92 235 0 75 7755 0 2475
30600.0 16524 9.12911637818E9 572995.69 560997 1.5746024058143E11 572995.69 235 0 75 7990 0 2550
31500.0 16452 9.38077258427E9 589833.45 577449 1.668410131657E11 589833.45 235 0 75 8225 0 2625
32400.0 16452 9.65253308102E9 606671.22 593901 1.7649354624672E11 606671.22 235 0 75 8460 0 2700
33300.0 16560 9.95791018863E9 623508.98 610461 1.8645145643535E11 623508.98 235 0 75 8695 0 2775
34200.0 16524 1.021872181893E10 640346.75 626985 1.9667017825428E11 640346.75 235 0 75 8930 0 2850
35100.0 16452 1.04679533779E10 657184.51 643437 2.0713813163218E11 657184.51 235 0 75 9165 0 2925
36000.0 16453 1.073971397202E10 674022.27 659890 2.178778456042E11 674022.27 235 0 75 9400 0 3000
36900.0 16560 1.104873118338E10 690860.47 676450 2.2892657678758E11 690860.47 235 0 75 9635 0 3075
37800.0 16524 1.130833536897E10 707698.38 692974 2.4023491215655E11 707698.38 235 0 75 9870 0 3150
38700.0 16452 1.155514340609E10 724536.14 709426 2.5179005556264E11 724536.14 235 0 75 10105 0 3225
39600.0 16452 1.182690390284E10 741373.91 725878 2.6361695946549E11 741373.91 235 0 75 10340 0 3300
40500.0 16560 1.213955495571E10 758211.67 742438 2.757565144212E11 758211.67 235 0 75 10575 0 3375
41400.0 16524 1.239794193764E10 775049.44 758962 2.8815445635884E11 775049.44 235 0 75 10810 0 3450
42300.0 16452 1.264232419983E10 791887.2 775414 3.0079678055867E11 791887.2 235 0 75 11045 0 3525
43200.0 16452 1.291408469658E10 808724.96 791866 3.1371086525525E11 808724.96 235 0 75 11280 0 3600
44100.0 16560 1.323037269763E10 825562.73 808426 3.2694123795288E11 825562.73 235 0 75 11515 0 3675
45000.0 16524 1.34875473695E10 842400.5 824950 3.4042878532238E11 842400.5 235 0 75 11750 0 3750
45900.0 16452 1.372950499362E10 859238.26 841402 3.54158290316E11 859238.26 235 0 75 11985 0 3825
46800.0 16452 1.400126549037E10 876076.02 857854 3.6815955580636E11 876076.02 235 0 75 12220 0 3900
47700.0 16560 1.43213116325E10 892913.79 874414 3.8248086743887E11 892913.79 235 0 75 12455 0 3975
48600.0 16524 1.457715279252E10 909751.56 890938 3.9705802023138E11 909751.56 235 0 75 12690 0 4050
49500.0 16452 1.481668578752E10 926589.32 907390 4.118747060189E11 926589.32 235 0 75 12925 0 4125
50400.0 16452 1.508844628427E10 943427.08 923842 4.2696315230317E11 943427.08 235 0 75 13160 0 4200
51300.0 16560 1.541200820869E10 960264.84 940402 4.4237516051185E11 960264.84 235 0 75 13395 0 4275
52200.0 16524 1.566675823354E10 977102.62 956926 4.5804191874539E11 977102.62 235 0 75 13630 0 4350
53100.0 16452 1.590386658142E10 993940.38 973378 4.7394578532681E11 993940.38 235 0 75 13865 0 4425
54000.0 16452 1.617562707816E10 1010778.14 989830 4.9012141240497E11 1010778.14 235 0 75 14100 0 4500
54900.0 16560 1.650283034502E10 1027616.47 1006390 5.0662424274999E11 1027616.47 235 0 75 14335 0 4575
55800.0 16524 1.675637295725E10 1044454.25 1022914 5.2338061570724E11 1044454.25 235 0 75 14570 0 4650
56700.0 16452 1.699105664633E10 1061292.01 1039366 5.4037167235357E11 1061292.01 235 0 75 14805 0 4725
57600.0 16452 1.726281714308E10 1078129.77 1055818 5.5763448949665E11 1078129.77 235 0 75 15040 0 4800
58500.0 16560 1.759365301289E10 1094967.54 1072378 5.7522814250954E11 1094967.54 235 0 75 15275 0 4875
59400.0 16524 1.784597838922E10 1111805.31 1088902 5.9307412089876E11 1111805.31 235 0 75 15510 0 4950
60300.0 16452 1.807823744018E10 1128643.07 1105354 6.1115235833894E11 1128643.07 235 0 75 15745 0 5025
61200.0 16452 1.834999793693E10 1145480.83 1121806 6.2950235627587E11 1145480.83 235 0 75 15980 0 5100
62100.0 16560 1.868447076392E10 1162318.6 1138366 6.4818682703978E11 1162318.6 235 0 75 16215 0 5175
63000.0 16524 1.893558382119E10 1179156.37 1154890 6.6712241086097E11 1179156.37 235 0 75 16450 0 5250
63900.0 16452 1.916541823402E10 1195994.13 1171342 6.86287829095E11 1195994.13 235 0 75 16685 0 5325
64800.0 16452 1.943717873077E10 1212831.89 1187794 7.0572500782577E11 1212831.89 235 0 75 16920 0 5400
65700.0 16560 1.977540968984E10 1229669.65 1204354 7.2550041751561E11 1229669.65 235 0 75 17155 0 5475
66600.0 16524 2.002518925316E10 1246507.43 1220878 7.4552560676876E11 1246507.43 235 0 75 17390 0 5550
67500.0 16452 2.025259902787E10 1263345.19 1237330 7.6577820579663E11 1263345.19 235 0 75 17625 0 5625
68400.0 16452 2.052435952462E10 1280182.95 1253782 7.8630256532125E11 1280182.95 235 0 75 17860 0 5700
69300.0 16560 2.086610625697E10 1297020.71 1270342 8.0716867157822E11 1297020.71 235 0 75 18095 0 5775
70200.0 16524 2.111479467612E10 1313858.49 1286866 8.2828346625435E11 1313858.49 235 0 75 18330 0 5850
71100.0 16452 2.133977982171E10 1330696.25 1303318 8.4962324607606E11 1330696.25 235 0 75 18565 0 5925
72000.0 16452 2.161154146437E10 1347534.15 1319770 8.7123478754043E11 1347534.15 235 0 75 18800 0 6000
72900.0 16560 2.195692918016E10 1364372.34 1336330 8.9319171672058E11 1364372.34 235 0 75 19035 0 6075
73800.0 16524 2.220440937459E10 1381210.12 1352854 9.1539612609517E11 1381210.12 235 0 75 19270 0 6150
74700.0 16452 2.242696985245E10 1398047.88 1369306 9.3782309594762E11 1398047.88 235 0 75 19505 0 6225
75600.0 16452 2.26987303492E10 1414885.64 1385758 9.6052182629682E11 1414885.64 235 0 75 19740 0 6300
76500.0 16560 2.304787220172E10 1431723.4 1402318 9.8356969849854E11 1431723.4 235 0 75 19975 0 6375
77400.0 16524 2.329401480655E10 1448561.18 1418842 1.0068637133051E12 1448561.18 235 0 75 20210 0 6450
78300.0 16452 2.35141506463E10 1465398.94 1435294 1.03037786395139E12 1465398.94 235 0 75 20445 0 6525
79200.0 16452 2.378591114304E10 1482236.7 1451746 1.05416377509444E12 1482236.7 235 0 75 20680 0 6600
80100.0 16560 2.413856877785E10 1499074.46 1468306 1.07830234387229E12 1499074.46 235 0 75 20915 0 6675
81000.0 16524 2.438362680783E10 1515912.23 1484830 1.10268597068012E12 1515912.23 235 0 75 21150 0 6750
81900.0 16452 2.460133144009E10 1532750.0 1501282 1.12728730212021E12 1532750.0 235 0 75 21385 0 6825
82800.0 16452 2.487309193684E10 1549587.76 1517734 1.15216039405705E12 1549587.76 235 0 75 21620 0 6900
83700.0 16560 2.522950771273E10 1566425.52 1534294 1.17738990176977E12 1566425.52 235 0 75 21855 0 6975
84600.0 16524 2.547322567043E10 1583263.29 1550818 1.20286312744021E12 1583263.29 235 0 75 22090 0 7050
85500.0 16452 2.568851223388E10 1600101.06 1567270 1.22855163967408E12 1600101.06 235 0 75 22325 0 7125
86400.0 16452 2.596027273063E10 1616938.82 1583722 1.25451191240471E12 1616938.82 235 0 75 22560 0 7200
87300.0 16560 2.63202042708E10 1633776.58 1600282 1.28083211667552E12 1633776.58 235 0 75 22795 0 7275
88200.0 16524 2.656283766266E10 1650614.35 1616806 1.30739495433817E12 1650614.35 235 0 75 23030 0 7350
89100.0 16458 2.677569302767E10 1667452.12 1633264 1.33417064736584E12 1667452.12 235 0 75 23265 0 7425
90000.0 16455 2.704745667129E10 1684290.24 1649719 1.36121810403714E12 1684290.24 235 0 75 23500 0 7500
90900.0 16560 2.741115081784E10 1701128.21 1666279 1.38862925485497E12 1701128.21 235 0 75 23735 0 7575
91800.0 16524 2.765244576519E10 1717965.98 1682803 1.41628170062016E12 1717965.98 235 0 75 23970 0 7650
92700.0 16452 2.786288304082E10 1734803.75 1699255 1.44414458366098E12 1734803.75 235 0 75 24205 0 7725
93600.0 16452 2.813464353757E10 1751641.51 1715707 1.47227922719855E12 1751641.51 235 0 75 24440 0 7800
94500.0 16560 2.850184903196E10 1768479.27 1732267 1.50078107623051E12 1768479.27 235 0 75 24675 0 7875
95400.0 16524 2.874205776646E10 1785317.04 1748791 1.52952313399698E12 1785317.04 235 0 75 24910 0 7950
96300.0 16452 2.895006383467E10 1802154.8 1765243 1.55847319783165E12 1802154.8 235 0 75 25145 0 8025
97200.0 16452 2.922182433142E10 1818992.57 1781695 1.58769502216306E12 1818992.57 235 0 75 25380 0 8100
98100.0 16560 2.959266678299E10 1835830.33 1798255 1.61728768894605E12 1835830.33 235 0 75 25615 0 8175
