# seed = 1, gamma = 0.25, beta = 0.5, dee = 10.0, dcc = 50.0, dec = 15.0, dsc = 200.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 150 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16561 1.349365421E7 1712.52 16561 1.349365421E7 1712.52 158 2 150 158 2 150
1800.0 16524 2.811308873E7 2619.29 33085 4.160674295E7 2619.29 158 2 150 316 4 300
2700.0 16460 4.270893666E7 3526.31 49545 8.43156796E7 3526.31 158 2 150 474 6 450
3600.0 16452 5.734356599E7 4433.12 65997 1.4165924559E8 4433.12 158 2 150 632 8 600
4500.0 16561 7.225889047E7 5340.1 82558 2.1391813606E8 5340.1 158 2 150 790 10 750
5400.0 16524 8.680142328E7 6246.96 99082 3.0071955935E8 6246.96 158 2 150 948 12 900
6300.0 16452 1.0126591892E8 7153.87 115534 4.0198547827E8 7153.87 158 2 150 1106 14 1050
7200.0 16452 1.1590056931E8 8060.79 131986 5.1788604758E8 8060.79 158 2 150 1264 16 1200
8100.0 16560 1.3099964319E8 8967.67 148546 6.4888569077E8 8967.67 158 2 150 1422 18 1350
9000.0 16524 1.4548842509E8 9874.63 165070 7.9437411586E8 9874.63 158 2 150 1580 20 1500
9900.0 16461 1.5982307481E8 10781.45 181531 9.5419719068E8 10781.45 158 2 150 1738 22 1650
10800.0 16452 1.7445763783E8 11688.46 197983 1.1286548285E9 11688.46 158 2 150 1896 24 1800
11700.0 16561 1.897649247E8 12595.24 214544 1.31841975321E9 12595.24 158 2 150 2054 26 1950
12600.0 16524 2.0417660321E8 13502.3 231068 1.52259635642E9 13502.3 158 2 150 2212 28 2100
13500.0 16452 2.1838016964E8 14409.02 247520 1.74097652606E9 14409.02 158 2 150 2370 30 2250
14400.0 16452 2.3301455477E8 15316.13 263972 1.97399108082E9 15316.13 158 2 150 2528 32 2400
