# seed = 1, gamma = 1.0, beta = 0.0, dee = 100.0, dcc = 5.0, dec = 600.0, dsc = 1000.0, dLocalhost = 0.015, hostBroker = CLOUD, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 0 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16566 604693.12 77.85 16566 604693.12 77.85 300 10 0 300 10 0
1800.0 16528 604544.65 77.85 33094 1209237.78 77.85 300 10 0 600 20 0
2700.0 16452 604549.29 77.85 49546 1813787.07 77.85 300 10 0 900 30 0
3600.0 16452 604544.22 77.85 65998 2418331.29 77.85 300 10 0 1200 40 0
4500.0 16566 605254.03 77.85 82564 3023585.32 77.85 300 10 0 1500 50 0
5400.0 16528 604564.58 77.85 99092 3628149.9 77.85 300 10 0 1800 60 0
6300.0 16452 604549.29 77.85 115544 4232699.2 77.85 300 10 0 2100 70 0
7200.0 16452 604544.22 77.85 131996 4837243.42 77.85 300 10 0 2400 80 0
8100.0 16566 604700.02 77.85 148562 5441943.44 77.85 300 10 0 2700 90 0
9000.0 16528 604544.65 77.85 165090 6046488.09 77.85 300 10 0 3000 100 0
9900.0 16452 604549.29 77.85 181542 6651037.38 77.85 300 10 0 3300 110 0
10800.0 16452 604544.22 77.85 197994 7255581.6 77.85 300 10 0 3600 120 0
11700.0 16566 605254.03 77.85 214560 7860835.63 77.85 300 10 0 3900 130 0
12600.0 16528 604564.59 77.85 231088 8465400.22 77.85 300 10 0 4200 140 0
13500.0 16452 604549.29 77.85 247540 9069949.51 77.85 300 10 0 4500 150 0
14400.0 16452 604544.22 77.85 263992 9674493.73 77.85 300 10 0 4800 160 0
15300.0 16566 604700.02 77.85 280558 1.027919375E7 77.85 300 10 0 5100 170 0
16200.0 16528 604544.65 77.85 297086 1.088373841E7 77.85 300 10 0 5400 180 0
17100.0 16452 604549.29 77.85 313538 1.14882877E7 77.85 300 10 0 5700 190 0
18000.0 16452 604544.22 77.85 329990 1.209283192E7 77.85 300 10 0 6000 200 0
18900.0 16566 604700.02 77.85 346556 1.269753194E7 77.85 300 10 0 6300 210 0
19800.0 16528 604544.65 77.85 363084 1.33020766E7 77.85 300 10 0 6600 220 0
20700.0 16452 604549.29 77.85 379536 1.390662589E7 77.85 300 10 0 6900 230 0
21600.0 16452 604544.22 77.85 395988 1.451117011E7 77.85 300 10 0 7200 240 0
