# seed = 1, gamma = 0.5, beta = 0.75, dee = 10.0, dcc = 200.0, dec = 150.0, dsc = 20.0, dLocalhost = 0.015, hostBroker = EDGE, numOfCloud = 1, numOfEdge = 1, numOfSmartphone = 225 
#
# The columns have the following meaning: 
# instant[SECONDS] delayCountPartial delaySumPartial[SECONDS] delayMaxPartial[SECONDS] delayCountTot delaySumTot[SECONDS] delayMaxTot[SECONDS] runOnCloudPartial runOnEdgePartial runOnSmartphonePartial runOnCloudTot runOnEdgeTot runOnSmartphoneTot
0.0 0 0.0 0.0 0 0.0 0.0 0 0 0 0 0 0
900.0 16561 1.981456216E7 2495.45 16561 1.981456216E7 2495.45 80 5 225 80 5 225
1800.0 16524 4.731703095E7 4200.22 33085 6.713159311E7 4200.22 80 5 225 160 10 450
2700.0 16458 7.474936524E7 5904.75 49543 1.4188095835E8 5904.75 80 5 225 240 15 675
3600.0 16454 1.0226795863E8 7609.85 65997 2.4414891698E8 7609.85 80 5 225 320 20 900
4500.0 16560 1.3027454339E8 9314.38 82557 3.7442346037E8 9314.38 80 5 225 400 25 1125
5400.0 16525 1.5763258991E8 11018.92 99082 5.3205605028E8 11018.92 80 5 225 480 30 1350
6300.0 16452 1.8482126806E8 12724.01 115534 7.1687731834E8 12724.01 80 5 225 560 35 1575
7200.0 16452 2.1234006455E8 14428.55 131986 9.2921738289E8 14428.55 80 5 225 640 40 1800
8100.0 16560 2.4069243184E8 16133.08 148546 1.16990981473E9 16133.08 80 5 225 720 45 2025
9000.0 16524 2.6794907642E8 17838.18 165070 1.43785889114E9 17838.18 80 5 225 800 50 2250
9900.0 16452 2.9489337712E8 19542.72 181522 1.73275226827E9 19542.72 80 5 225 880 55 2475
10800.0 16452 3.2240743508E8 21247.25 197974 2.05515970335E9 21247.25 80 5 225 960 60 2700
11700.0 16560 3.5115027622E8 22952.34 214534 2.40630997956E9 22952.34 80 5 225 1040 65 2925
12600.0 16524 3.7826756875E8 24656.88 231058 2.78457754831E9 24656.88 80 5 225 1120 70 3150
13500.0 16461 4.0496074766E8 26361.41 247519 3.18953829597E9 26361.41 80 5 225 1200 75 3375
14400.0 16452 4.3247934104E8 28066.51 263971 3.62201763701E9 28066.51 80 5 225 1280 80 3600
15300.0 16560 4.6157288504E8 29771.04 280531 4.08359052205E9 29771.04 80 5 225 1360 85 3825
16200.0 16525 4.8857951423E8 31475.58 297056 4.57217003628E9 31475.58 80 5 225 1440 90 4050
17100.0 16452 5.1503265075E8 33180.67 313508 5.08720268703E9 33180.67 80 5 225 1520 95 4275
18000.0 16452 5.4255144723E8 34885.21 329960 5.62975413426E9 34885.21 80 5 225 1600 100 4500
18900.0 16560 5.7200846509E8 36589.74 346520 6.20176259935E9 36589.74 80 5 225 1680 105 4725
19800.0 16524 5.9889688981E8 38294.84 363044 6.80065948916E9 38294.84 80 5 225 1760 110 4950
20700.0 16452 6.2510475981E8 39999.38 379496 7.42576424897E9 39999.38 80 5 225 1840 115 5175
21600.0 16453 6.5261881777E8 41703.9 395949 8.07838306673E9 41703.9 80 5 225 1920 120 5400
22500.0 16560 6.8244858776E8 43409.0 412509 8.76083165449E9 43409.0 80 5 225 2000 125 5625
23400.0 16524 7.0921449308E8 45113.54 429033 9.47004614757E9 45113.54 80 5 225 2080 130 5850
24300.0 16460 7.3517289692E8 46818.17 445493 1.02052190445E10 46818.17 80 5 225 2160 135 6075
25200.0 16452 7.6269157022E8 48523.16 461945 1.096791061472E10 48523.16 80 5 225 2240 140 6300
26100.0 16561 7.9290663234E8 50227.7 478506 1.176081724705E10 50227.7 80 5 225 2320 145 6525
27000.0 16524 8.1953173725E8 51932.79 495030 1.25803489843E10 51932.79 80 5 225 2400 150 6750
27900.0 16452 8.4524873867E8 53637.34 511482 1.342559772296E10 53637.34 80 5 225 2480 155 6975
28800.0 16452 8.7276279906E8 55341.87 527934 1.429836052202E10 55341.87 80 5 225 2560 160 7200
29700.0 16560 9.03329037E8 57046.96 544494 1.520168955902E10 57046.96 80 5 225 2640 165 7425
30600.0 16524 9.2984943249E8 58751.5 561018 1.613153899152E10 58751.5 80 5 225 2720 170 7650
31500.0 16452 9.5531611213E8 60456.03 577470 1.708685510364E10 60456.03 80 5 225 2800 175 7875
32400.0 16452 9.8283470551E8 62161.13 593922 1.806968980915E10 62161.13 80 5 225 2880 180 8100
33300.0 16560 1.01376935906E9 63865.66 610482 1.908345916821E10 63865.66 80 5 225 2960 185 8325
34200.0 16533 1.04016228558E9 65570.2 627015 2.012362145379E10 65570.2 80 5 225 3040 190 8550
35100.0 16452 1.06538801576E9 67275.29 643467 2.118900946955E10 67275.29 80 5 225 3120 195 8775
36000.0 16452 1.09290681224E9 68979.83 659919 2.228191628179E10 68979.83 80 5 225 3200 200 9000
36900.0 16561 1.12420493965E9 70684.36 676480 2.340612122144E10 70684.36 80 5 225 3280 205 9225
37800.0 16524 1.15047967075E9 72389.46 693004 2.455660089219E10 72389.46 80 5 225 3360 210 9450
38700.0 16452 1.17546012547E9 74094.0 709456 2.573206101766E10 74094.0 80 5 225 3440 215 9675
39600.0 16452 1.20297418342E9 75798.52 725908 2.693503520108E10 75798.52 80 5 225 3520 220 9900
40500.0 16560 1.23464507193E9 77503.62 742468 2.816968027301E10 77503.62 80 5 225 3600 225 10125
41400.0 16524 1.26079726567E9 79208.16 758992 2.943047753868E10 79208.16 80 5 225 3680 230 10350
42300.0 16452 1.28552749665E9 80912.69 775444 3.071600503533E10 80912.69 80 5 225 3760 235 10575
43200.0 16453 1.31304609032E9 82617.78 791897 3.202905112565E10 82617.78 80 5 225 3840 240 10800
44100.0 16560 1.34508539415E9 84322.32 808457 3.33741365198E10 84322.32 80 5 225 3920 245 11025
45000.0 16532 1.37111010987E9 86026.86 824989 3.474524662967E10 86026.86 80 5 225 4000 250 11250
45900.0 16452 1.39559940044E9 87731.95 841441 3.614084603011E10 87731.95 80 5 225 4080 255 11475
46800.0 16452 1.42311819692E9 89436.49 857893 3.756396422704E10 89436.49 80 5 225 4160 260 11700
47700.0 16561 1.45553874461E9 91141.02 874454 3.901950297165E10 91141.02 80 5 225 4240 265 11925
48600.0 16524 1.48142748625E9 92846.12 890978 4.05009304579E10 92846.12 80 5 225 4320 270 12150
49500.0 16452 1.5056715103E9 94550.66 907430 4.20066019682E10 94550.66 80 5 225 4400 275 12375
50400.0 16452 1.53318858298E9 96255.57 923882 4.353979055118E10 96255.57 80 5 225 4480 280 12600
